show_id,listed_in_id
81132440,25
81132440,18
81021243,1
81004460,11
81004460,7
81016330,11
81016330,5
70105130,15
70105130,7
70105130,3
70105130,16
80141858,1
80141858,2
81084225,8
80203920,29
80203920,3
80203920,25
80203920,18
80199806,11
80199806,5
80199806,7
80084834,11
80084834,5
80208273,8
80145699,20
80145699,24
70266684,15
81166978,3
81166978,28
81166978,16
81177371,11
81177371,5
81177371,14
81177371,28
81177371,16
81177371,3
81177371,18
70067230,11
70067230,13
70067230,5
80207446,11
80207446,5
80207447,11
80207447,13
80207447,5
80207447,17
81016324,11
81016324,5
80192097,11
80192097,14
80192097,37
80192097,29
70002129,1
80191963,11
80191963,5
80218099,15
80199767,15
80191665,8
80161921,10
81148672,8
81148672,5
80224362,11
80092857,1
80092857,2
80092857,5
81110394,20
81110394,5
81110394,37
80067754,11
80067754,14
80067754,6
80189954,1
80189954,2
80094648,15
80094648,5
80094648,7
80066073,20
80123740,2
80123740,11
80123740,5
80123741,2
80123741,5
80123741,17
80123742,2
80123742,11
80123742,5
80123742,16
80123742,26
81000863,15
81000863,7
70082255,10
70082255,5
70082255,21
70082255,35
80117454,20
80095197,11
80095197,5
80045783,2
80045783,11
80045783,13
80045783,16
80045783,26
81123469,11
81123469,37
81123469,5
81123469,23
80990221,11
80990221,5
80202352,10
80202352,6
80235268,2
80235268,11
80235268,5
80235268,14
80235268,22
80235268,3
81025088,11
81025088,5
81025088,7
80173479,11
80173479,13
80081372,11
80081372,5
81136744,15
81136744,6
81136744,7
81136744,3
81136744,18
81132444,11
81132444,5
81132444,7
80182014,2
80182014,11
80182014,3
80182014,4
80182014,24
80182014,17
80182014,34
81018455,15
81018455,13
81018455,7
81110383,2
81110383,11
81110383,5
81110383,25
81110383,21
81110383,17
81018183,20
80064515,10
80064515,7
80062011,1
80062011,17
80062011,34
81034741,20
81034741,23
81075461,15
81075461,5
80205231,10
80205231,11
80205231,5
80205231,29
80205231,3
80158919,8
80158919,34
80158919,21
80158919,17
80017261,10
80017261,11
80186796,20
81071891,10
81071891,5
80224536,8
80224536,16
80224536,18
80994444,10
80994444,6
80017286,2
80017286,11
80017286,13
70295169,10
70295169,13
80039050,2
80039050,11
80039050,13
81027753,20
81027753,8
15815343,12
15815343,15
15815343,13
70295176,10
81043190,11
81043190,13
81043190,5
80131240,20
70170182,11
70170182,5
70082633,11
70082633,5
70082633,7
70049619,5
70049619,23
70049619,14
80211135,11
80211135,5
80211135,23
70109884,5
70109884,23
70109884,14
70176967,11
70176967,5
70176967,37
70198040,2
70198040,5
70198040,14
80038442,2
80038442,13
80091310,10
80091310,2
80091310,13
70114484,1
70114484,11
70114484,5
70114484,3
70114484,18
70114484,19
80117443,8
80010717,8
81020005,2
81020005,5
81020005,14
81035748,11
81035748,27
80135164,11
80135164,7
80135164,22
80135164,3
80113669,10
80113669,22
80113669,3
80113669,24
81094801,2
81094801,5
81094801,14
80218973,10
80235999,2
80235999,23
80235999,22
80235999,17
80017240,2
70118859,2
70118859,20
80236778,2
80236470,20
80236470,22
80236470,17
699257,36
699257,2
699257,12
699257,17
80236574,2
80039069,2
80039069,11
80039069,13
80046779,8
80046779,2
60001650,10
60001650,2
60001650,6
81172848,2
81172848,11
81172848,5
81034575,11
81034575,5
81034575,7
81034575,16
81034575,17
81034575,3
81034575,9
80226951,31
80232279,1
80232279,2
80239666,10
80239666,5
80239666,6
81011973,11
81011973,5
80144152,10
80144152,5
81035749,11
81035749,27
80148162,10
80148162,5
80148162,3
80148162,16
80171705,2
80171705,5
80171705,14
81172729,2
81172729,5
81172729,14
81172895,11
81172895,5
81172895,7
80206910,15
80206910,5
80206910,3
80206910,24
80206910,18
81132442,2
81132442,5
81132442,14
81132442,17
81132442,28
81172723,11
81172723,5
80990336,2
80990336,11
80990336,5
81172909,10
81172909,11
81172909,5
80994011,2
80994011,11
80994011,9
81172902,11
81172902,5
80998890,2
80998890,11
80998890,5
81047903,11
81047903,27
81047903,5
81026343,11
81026343,5
81026343,7
81026343,20
70125931,1
70125931,11
70125931,19
70235768,1
70235768,2
80177406,8
80177406,28
80177406,16
81053240,8
81053240,28
81053240,16
80043834,15
81157840,20
81157840,37
80244900,8
80211134,10
80211134,5
70271601,11
70271601,7
70271601,18
70271601,16
70271601,17
80204433,11
80204433,5
80204433,23
80089199,20
80089199,5
80043049,8
80044545,11
80044545,13
80070182,11
80070182,13
80070182,6
80176234,29
80176234,3
80176234,18
80992769,11
80992769,7
80992769,13
80992769,5
80992769,3
80992769,9
81025935,11
81025935,5
81020508,11
81020508,5
81020508,3
81020508,24
80201824,5
80201824,7
80203782,11
80203782,13
80203782,5
80201829,11
80201829,5
80201829,7
80126016,20
80126016,5
80202089,11
80202089,5
80203789,11
80203789,5
80193423,20
80193423,5
80201825,11
80201825,13
80201825,5
80201825,17
80028360,11
80028360,13
80028360,5
80203783,15
80203783,5
80142617,7
80201823,11
80201823,5
80201823,23
80190841,11
80190841,13
80190841,5
80115858,10
80115858,2
80115858,5
80158547,2
80158547,11
80158547,5
80206827,2
80206827,5
80206827,14
80202090,10
80202090,5
80202090,14
80203790,2
80203790,5
80203790,14
80158391,11
80158391,5
80201822,10
80201822,11
80201822,5
80123743,2
80123743,5
80123743,37
70258995,10
70258995,38
70258995,5
70208801,10
70208801,38
70208801,6
70260383,10
70260383,38
70260383,6
80123744,2
80123744,5
80123744,14
80123744,29
80123744,3
70105699,10
70105699,38
70105699,5
70124999,10
70124999,38
70124999,5
70124999,3
70124999,18
80990869,8
80187205,2
80187205,5
80187205,14
80097472,20
80075009,11
80075009,5
80075009,7
80075009,39
70280748,8
81034012,11
81034012,5
81034012,3
81034012,28
81019031,11
81019031,5
81019031,37
81019031,18
80148070,2
80148070,11
80148070,5
80155812,11
80155812,5
80183198,8
80164456,2
80164456,15
80174434,2
80174434,11
80174434,13
80075476,2
80158148,15
80158148,5
80158148,7
80158148,3
80158148,18
80239565,15
80239565,5
80239565,6
80239565,30
81021082,15
81021082,5
81021082,23
81021082,21
81021082,34
80240972,11
80240972,13
80103282,2
80103282,5
80103282,14
80134526,2
80134526,13
80134526,5
80127559,23
80005501,1
80005501,6
81132441,2
81132441,5
81132441,14
81078819,11
81078819,7
80223997,7
81191666,11
81191666,5
81133621,11
81133621,5
81133621,7
81038598,15
81038598,5
81016322,11
81016322,5
81016322,3
81016322,18
80147323,11
80147323,13
80147323,5
80147323,32
80147323,23
80147323,3
80210932,11
80210932,7
80210932,3
80210932,18
81015317,12
81015317,15
81015317,13
80205204,8
80205204,22
80205204,9
70235731,33
70235731,22
70235731,3
80003481,8
81168338,11
81168338,5
81103033,15
60002273,7
70297962,1
269880,10
269880,2
60029167,10
60029167,2
60020891,11
347365,12
347365,15
60003242,10
60003242,2
60027726,10
60027726,2
81166946,3
81166946,28
81166946,16
81166946,17
70023961,11
70023961,13
60027716,2
70287957,1
70287957,6
70287957,17
81168345,2
81168345,11
81168345,13
60020892,10
81164752,11
81164752,5
81164752,14
81164752,17
81164752,18
60028097,1
60028097,2
70065112,2
70065112,14
70083108,2
70083108,12
70184050,11
70184050,14
81168347,36
81168347,11
81168347,5
81003460,15
81003460,17
81168348,11
81168348,5
81168348,14
70095135,6
70095135,7
70095135,5
70095135,37
81168340,15
81168340,5
81168340,7
60023597,10
60023597,2
60023597,6
60023597,28
81002876,8
70058017,2
70058017,14
70058024,10
70058024,2
70011211,10
70011211,2
70271599,20
70271599,23
70020699,36
70020699,11
70020699,37
60003540,1
60003540,2
1181550,15
70170051,20
70170051,5
70170051,37
70170051,3
70170051,28
70021630,10
81043753,15
81043753,5
60001761,10
60001761,6
70041963,10
70041963,6
70058025,1
70058025,2
70058025,37
70128696,10
70128696,2
70128696,14
70077542,2
70077542,11
81168342,2
81168342,12
81168342,5
81165772,15
81165772,5
81165772,7
510854,1
510854,2
60000921,1
60000921,2
60000921,14
60000921,28
60000921,16
81168343,11
81168343,5
70044605,11
18021979,1
18021979,2
81168344,11
81168344,13
81168344,5
70020750,2
70020750,11
70020750,13
70105596,11
70105596,14
70105596,6
60037022,2
60037022,12
60037022,11
60034571,10
60034571,11
60034571,3
60034571,28
70053456,1
70053456,2
80173150,11
80173150,13
80173150,7
81168341,11
81168341,5
81168346,36
81168346,11
81168346,5
80137461,10
80137461,11
80137461,5
81012857,1
70123116,15
70123116,5
80190101,10
80190101,11
80190101,5
81024712,11
81024712,5
81024712,37
70112494,11
70112494,7
80215922,11
80215922,22
70113306,11
70113306,5
70113305,11
70113305,5
70113305,14
80032472,5
80032472,23
80032472,14
80032472,22
80032472,9
70181653,2
70181653,5
70181653,14
80048200,20
80048200,5
80048200,7
80032474,11
80032474,5
80032474,23
80032476,2
80032476,5
80032476,23
70127589,11
70127589,5
70127589,17
80104130,10
80104130,2
80104130,5
80032473,2
80032473,11
80032473,5
70090035,10
70090035,11
70090035,5
81024713,2
81024713,11
81024713,5
70117268,11
70117268,5
70117268,23
70211216,8
70140322,8
81024696,11
81024696,5
81024696,37
70303428,2
70303428,5
70303428,14
70303428,22
70303428,9
70125882,10
70125882,11
70125882,5
70101039,2
70101039,5
70101039,23
70123121,5
70123121,7
80152182,11
80152182,5
70229042,2
70229042,5
70042756,2
70042756,5
70042756,14
80187618,2
80187618,11
80187618,5
81024704,2
81024704,5
81024704,20
70229047,10
70229047,5
70229555,10
70229555,5
70213515,2
70213515,5
70213515,6
81018563,1
81018565,1
70114948,2
70114948,11
70114948,13
80190103,10
80190103,11
80190103,5
81024729,11
81024729,5
81024729,14
81024729,9
80032477,2
80032477,5
80032477,23
81024711,10
81024711,11
81024711,5
81025908,2
81025908,11
81025908,13
70303495,10
70303495,5
70303429,15
70303429,5
70303429,7
80084768,2
80084768,5
80084768,23
70096752,10
70096752,5
70096752,23
70229046,10
70229046,5
70229046,23
80084767,2
80084767,11
80084767,5
81024701,2
81024701,11
81024701,5
70229048,10
70229048,5
70229048,23
70292836,2
70292836,5
70292836,23
70292836,3
70292836,24
80141767,10
80141767,11
80141767,5
70139542,11
70139542,13
70139542,5
70039175,10
70039175,11
70039175,6
70225597,10
70225597,5
70225597,23
70123119,2
70123119,5
70123119,14
70150437,11
70150437,5
80084667,2
80084667,5
80084667,14
70099118,2
70099118,13
70099118,14
81024705,11
81024705,5
81024705,14
80198771,11
80198771,5
80198771,7
80062096,10
80062096,2
80062096,5
70291096,1
70130483,1
80031038,1
80065930,1
80112370,1
70165189,1
70197459,1
80095193,1
70246439,1
80158155,1
80158155,32
80063617,1
80063617,22
80063617,9
80063617,17
80202503,2
80202503,5
70257412,2
70257412,11
70257412,13
70257412,37
80118280,1
80118280,2
80118280,9
80135360,20
80135360,37
70286355,11
70286355,27
70286355,14
80150246,20
80150246,5
80150246,37
80150246,18
80017272,1
80017272,11
80075828,38
80095089,1
80208176,1
80116741,2
80116741,11
80116741,5
80116741,22
80116741,9
80063290,10
80063290,11
80063290,5
80063290,16
80063290,18
80063290,3
80162195,20
80162195,37
80106036,11
80106036,5
80198687,2
80198687,11
80198687,5
80198687,23
80162246,11
80162246,13
80162246,5
80112371,1
80112371,18
80208413,11
80208413,5
80208413,16
80208413,18
80094453,11
80094453,5
80094453,17
80094453,16
70153553,11
70153553,5
70153553,16
70153553,17
80098709,11
80098709,13
80098709,5
80098709,16
80098709,17
80092849,2
80092849,5
80107372,1
80107372,2
80138584,3
80138584,17
80138584,18
80106138,11
80106138,5
80106138,16
80106138,18
80038288,11
80038288,13
80038288,5
80109089,20
80109089,37
80061797,2
80061797,5
80061797,16
80061797,17
70206821,11
70206816,11
60022914,11
70206818,11
70206819,11
70206819,37
70206822,11
70206820,11
70206823,11
70206824,11
70206824,37
70206825,11
70206826,11
70206826,7
81029831,2
81029831,5
81029831,14
80194289,11
80194289,13
80194289,5
80191219,2
80191219,5
80191219,16
80191219,18
80190859,10
80190859,11
80190859,17
80190859,3
80190859,4
80190859,18
80190859,22
80190859,25
70243445,10
70243445,2
70243445,14
80201542,2
80201542,11
80201542,30
81079723,10
81079723,11
81079723,5
81003058,11
80236993,11
80236993,5
80057565,11
80057565,3
80057565,35
81002596,5
81002596,30
81002596,14
81002597,5
81002597,30
81002597,14
80148275,20
80148275,5
80127886,5
80127886,7
80127886,18
80080491,11
80080491,5
80080491,6
80046777,11
80046777,13
60024976,20
60024976,17
80173002,11
80173002,5
81092045,11
81092045,3
81092045,18
81034600,10
81034600,11
81034600,5
81034600,2
81058497,8
80167628,2
80167628,11
80167628,13
81165326,11
81165326,5
81165326,14
81053961,2
81053961,3
81053961,18
81029848,11
81029848,5
80204460,2
80204460,11
80204460,5
70209267,1
70209267,2
70209267,14
70306305,2
70306305,14
70262831,2
70262831,14
70113005,10
70113005,5
70113005,6
70052286,2
70052286,13
70052286,14
80114460,20
81206389,11
81206389,5
81206389,7
81206389,22
81206389,37
80117461,8
80117461,16
80117461,4
80117461,28
80117461,5
81213894,2
81213894,11
81213894,5
81213894,3
81213894,18
80238204,1
80238204,11
80238204,14
80230507,1
80230507,17
80990725,11
80990725,5
81016327,1
81016327,11
81016327,37
81004245,11
81004245,13
81004245,5
80057969,5
80057969,14
80057969,16
80057969,18
81039383,11
81039383,13
81039383,5
81018377,2
81018377,11
81018377,5
81021528,10
81021528,2
81021528,5
80991809,11
80991809,13
80991809,5
70117294,10
70117582,1
70117582,2
70117582,18
70117582,3
81082007,11
81082007,13
81082007,5
81172754,2
81172754,5
81172754,7
81120982,11
81120982,13
81120982,5
81227195,11
81227195,5
81172899,2
81172899,13
81172899,5
81172908,10
81172908,2
81172908,5
81172908,16
81172908,17
81172901,11
81172901,5
81172901,7
81033086,1
81033086,11
81033086,3
81033086,39
81033086,17
81033086,18
60020826,11
60020826,7
80226242,10
80226242,5
70101696,10
70101696,11
81194544,2
81194544,5
81194544,14
81177504,11
81177504,13
80175798,11
80175798,17
80239961,10
80239961,5
80219019,2
80219019,5
81062293,8
80235524,1
80235524,4
80235524,39
80235524,18
80235524,21
81215481,10
81215481,11
81215481,5
80147529,20
81018860,1
81018860,5
80141787,20
80141787,5
80141787,18
80141787,26
80049871,8
81218079,7
60028294,10
60028294,1
60028294,2
80125671,11
80125671,7
80125671,3
80125671,28
80174220,10
80174220,13
80103512,11
80103512,13
80103512,5
80103512,16
80103512,18
80103512,17
60020948,1
60020948,36
70235384,10
569355,10
569355,11
569355,17
569355,35
60022645,10
60022645,6
60022645,3
60022645,4
80196379,1
80196379,2
80198859,11
80198859,13
80198859,5
80198859,32
80159876,10
80159876,38
80159876,5
80159876,22
80159876,17
80159876,18
81218074,20
81218074,37
81218074,24
80199682,1
80199682,2
80199682,28
80199682,18
80203522,23
80107037,15
80107037,13
80107037,5
80077402,11
80077402,7
80107219,11
80107219,13
80107219,5
60023606,10
60023606,11
60023606,3
60023606,18
81026188,1
81026188,2
81026188,14
80080109,20
80080109,16
80080109,17
80988835,2
80988835,5
80208104,1
80208104,23
80134827,8
80127558,20
80158084,11
80158084,27
80124725,8
70267398,11
70267398,13
70267398,5
70267398,17
70267398,18
80108983,2
80108983,11
80108983,14
292118,2
292118,12
70003046,2
80221584,20
70053833,11
70053833,13
70122722,15
70122722,6
70122722,7
81217738,11
81217738,5
81217738,14
80081990,20
60004471,2
60004471,6
60022413,11
60022413,7
60022413,18
70058022,2
70058022,37
60022502,1
60022502,2
80244683,20
80244683,5
80244683,37
80028357,2
80028357,5
80028357,14
81217739,11
81217739,13
81217739,5
60031884,10
60031884,36
60031884,5
70117289,2
70117289,14
28631236,2
70121502,1
70215455,15
70215455,7
506464,2
60003508,11
60003508,7
70105132,2
60004083,36
60004083,2
60004083,37
70087538,2
70087538,37
1181661,11
1181661,7
60011552,36
60011552,11
60011552,13
60011552,22
60011552,3
70044693,10
70044693,11
70173046,2
70173046,11
70173046,13
70039187,1
70039187,2
70044686,12
70044686,11
70044686,7
70044686,17
80989043,1
80989043,2
81021831,15
81021831,5
81021832,2
81021832,15
81021832,5
80239932,8
81214223,1
81214223,2
81214223,17
80027560,1
80027560,2
70135899,15
81215437,1
81215438,1
81215438,2
81214187,1
81214187,2
80160987,1
81215439,1
81215439,2
70178618,15
70292700,1
70292700,2
81214214,1
81214214,2
81020531,2
81020531,5
81020531,30
81020531,23
80242446,11
80242446,14
80242446,3
80242446,18
80085566,11
80085566,13
80124722,20
70243696,11
70243696,5
70243692,11
70243692,5
81073633,8
81073633,16
81073633,17
81073633,24
81073633,4
70230138,8
70083532,20
80177865,10
80177865,11
80177865,5
80117534,8
80115031,11
80115031,13
80115031,5
80115031,3
80115031,4
80079470,2
80079470,11
80079470,30
70127998,15
70127998,18
70127998,26
70127998,16
70127998,4
70127998,17
80160759,1
80160759,11
80160759,14
80209608,20
80182622,1
80175694,11
80175694,13
80016471,1
80016471,2
80016471,29
80016471,3
70189289,10
70189289,11
70189289,13
70189289,2
70189289,5
80013267,8
80046819,11
80046819,5
70293315,15
70293315,13
80177400,13
80177400,7
81037898,20
81037898,5
81037898,25
81037898,18
81004099,2
81004099,11
81004099,5
80200267,2
80200267,11
80200267,14
80200267,3
80200267,24
70113538,10
70113538,13
70113538,6
70113538,16
80244457,11
80244457,14
81196441,20
81196441,5
81162089,1
81162089,23
81217737,10
81217737,11
81217737,5
81076114,2
81076114,13
81076114,5
81076114,28
81076114,16
80093820,38
80183187,1
80183187,2
80183187,16
70124331,2
70124331,14
70124331,16
70124331,18
70124331,28
81217749,20
81217749,5
81217749,37
81217749,3
81217749,4
70291121,38
70291121,5
70291121,14
70291121,25
70291121,18
70291121,16
81035105,11
81035105,13
81035105,5
81035105,32
80224054,2
80224054,5
80224054,14
81038832,2
81038832,11
81038832,13
81035109,11
81035109,5
81030893,15
81030893,5
81035104,2
81035104,5
80075824,20
80075824,5
81035108,11
81035108,13
81035108,5
81035107,15
81035107,5
81028556,31
81028574,31
81028560,31
80196044,10
80196044,5
80122177,11
80122177,5
80136925,10
80136925,5
80136925,6
70040076,11
70040076,5
70040076,14
70040076,3
70040076,26
70040076,18
80117532,8
70260514,11
70260514,13
70260514,5
80127995,22
81156627,20
81156627,23
81096745,8
81096745,16
81096745,17
80191804,8
80191109,10
80004534,8
70213466,2
70213466,4
80222787,10
80222787,5
80222787,3
80222787,18
80147403,20
80147403,23
80058424,8
81078466,8
80060034,15
80060034,7
80205085,20
80205085,5
80205085,23
70117297,11
70117297,13
70117297,30
70117297,16
70117297,26
81152923,10
81152923,11
80131563,10
80131563,2
80131563,5
80131563,3
80131563,9
80091658,10
80091658,2
80091658,3
80091658,9
80091658,21
80091658,35
80237420,11
80237420,5
70174733,8
70174733,25
70174733,17
80183088,8
80198018,8
80127990,10
80127990,5
80127990,3
80134279,8
