show_id,cast_id
81145628,1
81145628,2
81145628,3
81145628,4
81145628,5
81145628,6
81145628,7
81145628,8
81145628,9
81145628,10
81145628,11
81145628,12
81145628,13
81145628,14
81145628,15
81145628,16
81145628,17
81145628,18
81145628,19
81145628,20
81145628,21
81145628,22
81145628,23
81145628,24
81145628,25
81145628,26
81145628,27
81145628,28
80125979,29
80125979,30
80125979,31
80125979,32
80125979,33
80125979,34
80125979,35
80125979,36
80125979,37
80125979,38
80125979,39
80125979,40
80125979,41
80125979,42
80125979,43
80125979,44
70304989,45
70304989,46
70304989,47
70304989,48
70304989,49
70304989,50
70304989,51
70304989,52
70304989,53
80164077,54
70304990,55
70304990,56
70304990,57
70304990,58
70304990,59
70304990,60
70304990,61
70304990,62
70304990,63
70304990,64
70304990,65
70299204,66
70299204,67
70299204,68
70299204,69
70299204,70
70299204,71
70299204,72
70299204,73
70299204,74
70299204,75
70299204,76
80057969,77
80057969,78
80057969,79
80057969,80
80057969,81
80057969,82
80057969,83
80057969,84
80057969,85
80057969,86
80060297,87
80060297,88
80060297,89
80060297,90
80060297,91
80060297,92
80046728,93
80046728,94
80046728,95
80046728,96
80046728,97
80046728,98
80046728,99
80046728,100
70304988,101
70304988,66
70304988,102
70304988,103
70304988,104
70304988,105
70304988,106
70304988,107
70304988,108
70304988,109
80057700,110
80057700,111
80057700,112
80057700,113
80057700,114
80057700,115
80057700,116
80045922,117
80045922,118
80045922,119
80045922,120
80045922,121
80045922,122
80045922,123
80045922,124
80045922,125
80045922,126
80045922,127
80045922,128
80045922,129
80045922,130
80045922,131
80045922,132
80045922,133
70241607,134
70241607,135
70241607,136
70241607,137
70241607,138
70241607,139
80988892,140
80988892,141
80988892,142
80988892,143
80988892,144
80988892,145
80239639,146
80239639,147
80239639,148
80239639,149
80239639,150
80239639,151
80239639,152
80239639,153
80239639,154
80239639,155
80239639,156
80159586,157
80159586,158
80159586,159
80159586,160
80159586,161
80159586,162
80159586,163
80159586,164
80159586,165
80159586,166
80152447,167
80152447,168
80152447,169
80152447,170
80152447,171
80152447,172
80152447,173
80152447,174
80152447,175
80152447,176
80152447,177
80152447,178
80152447,179
81154455,180
81154455,181
81154455,182
81154455,183
81154455,184
81154455,185
81154455,186
81154455,187
81154455,188
81154455,189
