show_id,director_id
81145628,1
81145628,2
80125979,3
70304989,4
80164077,5
80164077,6
70304990,7
70299204,8
70299204,9
80057969,10
80060297,11
80046728,12
70304988,13
80057700,14
80045922,15
70241607,16
80988892,17
80988892,18
80239639,19
80159586,20
80152447,21
81154455,22
81052275,23
80058026,24
80058026,25
70303496,26
80162141,27
80162141,28
80095641,29
80159880,30
81016044,31
80158838,30
81016045,32
70142798,32
70142798,33
70142798,34
70142798,35
70142798,36
70062814,32
70062814,35
80158839,37
80147760,38
80177405,39
81160036,40
81173255,41
81078908,42
81155784,43
80201906,44
80052612,45
81054495,46
70212504,47
80187061,48
80187061,49
80198585,50
70233894,51
81011955,52
80128722,53
80104068,54
80019931,55
80200087,56
81002850,57
81004470,58
80157072,59
81002864,60
81016750,61
81002866,62
81002866,63
81132443,64
80231903,65
80231903,66
80231903,67
80231903,68
80231903,69
80231903,70
80231903,71
80231903,72
80231903,73
80231903,74
81012295,75
80060037,76
60003155,77
60003155,78
81177238,79
70270775,80
80215923,81
80151483,82
80173625,83
80173625,84
80173625,85
81075519,86
80166318,87
80166318,88
81186758,89
81186757,89
80108976,90
80208155,91
80162144,92
81053953,93
81074113,94
80992496,95
70304191,96
80103311,97
81176200,98
80208906,99
80208906,100
80106966,101
81080769,102
70267838,103
80211380,104
80196586,105
80099204,106
80059432,107
81172721,108
81172727,109
70153543,110
81172728,111
80102952,112
80102952,113
80243600,114
81122669,115
81000389,116
81000389,117
81132439,118
80150502,119
80119815,120
80119815,121
80203776,122
80143797,123
80161931,124
80017275,125
81107545,126
70118953,127
70118953,128
80190449,129
80190449,130
80163156,131
80149143,132
80987075,133
80192815,134
80066798,103
81147293,135
80991316,50
80190588,136
70124316,137
70229037,138
80037280,139
80058248,140
70307661,141
70117312,142
80092885,143
80108371,94
70129452,144
70129452,145
81030342,146
70054723,147
81131761,148
81016326,149
80227777,150
81018233,151
81016317,152
81016337,153
81018234,154
81018235,155
81018236,156
81018237,157
81018238,158
81018238,159
80067522,160
80192149,161
80142637,162
80192014,163
80192015,163
80202129,164
80088910,165
80088910,166
70290909,167
80033772,168
80033772,169
81093951,89
80238013,170
81089941,171
81000011,172
80217733,173
80999985,174
80999985,175
80999985,176
80999985,177
80188120,178
80164779,179
81092328,180
